"dbn","school_name","school_type","enrollment","survey_pp_RI","survey_pp_CT","survey_pp_SE","survey_pp_ES","survey_pp_SF","survey_pp_TR","QR_1_1","QR_1_2","QR_2_2","QR_3_4","QR_4_2","QR_1_4","QR_1_3","QR_3_1","QR_4_1","QR_5_1","Dates_of_Review","rating_ela_grade_8_pct_rs","rating_mth_grade_8_pct_rs","gender_female_pct","gender_male_pct","ELL","IEP","cap_sc_pct"
"15K656","Brooklyn High School of the Arts","High School","930","No Data","No Data","No Data","0.96","0.91","0.97","Proficient","Proficient","Proficient","Well Developed","Proficient","Well Developed","Well Developed","Proficient","Well Developed","Proficient","2017-03-01T00:00:00.000","3.18","2.81","0.745","0.255","0.012","0.184","0.051"
"15K667","Sunset Park High School","High School","1,239","0.78","0.74","0.55","0.65","0.69","0.64","Proficient","Proficient","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Proficient","Proficient","2018-01-01T00:00:00.000","2.65","2.55","0.462","0.538","0.195","0.181","0.024"
"15K684","Millennium Brooklyn HS","High School","684","0.88","0.88","0.86","0.91","0.85","0.94","Well Developed","Proficient","Proficient","Well Developed","Well Developed","No Data","No Data","No Data","No Data","No Data","2016-02-11T00:00:00.000","3.82","3.86","0.57","0.43","0.001","0.154","0.003"
"16K455","Boys and Girls High School","High School","452","0.78","0.8","0.87","0.84","0.92","0.91","Proficient","Developing","Developing","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","2018-04-01T00:00:00.000","2.47","2.23","0.343","0.657","0.062","0.312","0.115"
"16K498","Brooklyn High School for Law and Technology","High School","578","0.67","0.61","0.65","0.59","0.74","0.69","Proficient","Developing","Developing","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Developing","2016-11-01T00:00:00.000","2.73","2.53","0.422","0.578","0.073","0.209","0.031"
"16K688","The Brooklyn Academy of Global Finance","High School","126","0.78","0.9","0.74","0.97","0.9","0.9","Proficient","Developing","Developing","Developing","Developing","Developing","Proficient","Developing","Proficient","Developing","2017-05-01T00:00:00.000","2.47","2.17","0.405","0.595","0.151","0.294","0"
"16K765","Nelson Mandela High School","High School","231","0.49","0.47","0.37","0.63","0.89","0.69","Proficient","Developing","Developing","Proficient","Developing","Proficient","Developing","Proficient","Proficient","Developing","2016-12-01T00:00:00.000","2.53","2.32","0.416","0.584","0.026","0.325","0.061"
"17K122","Pathways in Technology Early College High School (","High School","574","0.83","0.84","0.76","0.85","0.9","0.93","Proficient","Proficient","Proficient","Well Developed","Proficient","No Data","No Data","No Data","No Data","No Data","2016-05-31T00:00:00.000","2.86","2.66","0.284","0.716","0.017","0.155","0"
"17K382","Academy for College Preparation and Career Explora","High School","219","0.83","0.92","0.8","0.84","0.9","0.98","Developing","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Well Developed","Proficient","2017-11-01T00:00:00.000","2.62","2.22","0.406","0.594","0.119","0.142","0.005"
"17K408","Academy of Hospitality and Tourism","High School","244","0.8","0.92","0.74","0.92","0.91","0.89","Proficient","Proficient","Developing","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","2016-12-01T00:00:00.000","2.57","2.28","0.533","0.467","0.16","0.238","0.008"
"17K524","International High School at Prospect Heights","High School","370","No Data","No Data","No Data","No Data","No Data","No Data","Well Developed","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Proficient","Proficient","Proficient","2018-11-01T00:00:00.000","1.87","2.04","0.376","0.624","0.803","0.051","0.003"
"17K528","The High School for Global Citizenship","High School","222","0.7","0.83","0.76","0.7","0.96","0.77","Well Developed","Proficient","Proficient","Well Developed","Proficient","Well Developed","Well Developed","Proficient","Proficient","Proficient","2019-05-01T00:00:00.000","2.76","2.68","0.315","0.685","0.077","0.153","0"
"17K531","School for Human Rights, The","High School","326","0.7","0.78","0.58","0.85","0.95","0.7","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","2018-12-01T00:00:00.000","2.71","2.36","0.463","0.537","0.071","0.184","0"
"17K537","High School for Youth and Community Development at","High School","466","0.75","0.86","0.7","0.88","0.86","0.89","Well Developed","Proficient","Proficient","Well Developed","Well Developed","No Data","No Data","No Data","No Data","No Data","2015-04-23T00:00:00.000","2.6","2.3","0.275","0.725","0.077","0.245","0.002"
"17K539","High School for Service & Learning at Erasmus","High School","299","0.56","0.77","0.69","0.82","0.9","0.85","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Well Developed","Proficient","2017-05-01T00:00:00.000","2.67","2.32","0.355","0.645","0.14","0.197","0.003"
"17K543","Science, Technology and Research Early College Hig","High School","377","0.94","0.98","0.84","0.97","0.92","0.94","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","2019-10-01T00:00:00.000","3.35","3.29","0.464","0.536","0.008","0.151","0"
